,Osoite,Vmh,Pinta-ala,URL,Postinmr,Kaupunki
0,Soukantie 15 E,269000,99.0,https://www.etuovi.com/kohde/7986667,02360, Espoo
1,Hirvisuontie 27 B,0,76.0,https://www.etuovi.com/kohde/502277,02810, Espoo
2,Nuuniitynkuja 1,295000,87.0,https://www.etuovi.com/kohde/1297651,02710, Espoo
3,Savutie 14 A,325000,130.0,https://www.etuovi.com/kohde/7986912,02770, Espoo
4,Kaurakaski 6 as,278000,83.0,https://www.etuovi.com/kohde/7986447,02340, Espoo
5,Taka-Niipperin tie 12 A,290000,210.0,https://www.etuovi.com/kohde/21072735,02970, Espoo
6,Niittykuja 2,335000,106.5,https://www.etuovi.com/kohde/21757730,02200, Espoo
7,Oksakarhinmäki 4,279000,98.0,https://www.etuovi.com/kohde/20239731,02340, Espoo
8,Kirstintie 3 B 42,198000,95.5,https://www.etuovi.com/kohde/q92626,02760, Espoo
9,Kaskenpolttajantie 7,344000,103.5,https://www.etuovi.com/kohde/21345365,02340, Espoo
10,Kirstinsyrjä 6,195000,95.0,https://www.etuovi.com/kohde/20945853,02760, Espoo
11,Aallonhuippu 3,230000,117.5,https://www.etuovi.com/kohde/2234852,02320, Espoo
12,Porarinkatu 5,339000,85.5,https://www.etuovi.com/kohde/21460556,02650, Espoo
13,Tammihaantie 2,228000,119.0,https://www.etuovi.com/kohde/20693572,02940, Espoo
14,Lansantie 23,275000,90.0,https://www.etuovi.com/kohde/21823814,02630, Espoo
15,Heinjoenpolku 1 A,208000,89.0,https://www.etuovi.com/kohde/7974869,02140, Espoo
16,Kirstinmäki 1,185000,94.0,https://www.etuovi.com/kohde/20576228,02760, Espoo
17,Törmäniityntie 15,209000,90.5,https://www.etuovi.com/kohde/21645202,02710, Espoo
18,Nuumäentie 9,279000,96.5,https://www.etuovi.com/kohde/21982593,02710, Espoo
19,Soukankaari 1 B 29,319000,97.0,https://www.etuovi.com/kohde/q87362,02360, Espoo
20,Maininkitie 16,269000,98.0,https://www.etuovi.com/kohde/21914779,02320, Espoo
21,Täysikuu 10 A,218000,90.5,https://www.etuovi.com/kohde/7981760,02210, Espoo
22,Humisevanportti 4,219000,104.0,https://www.etuovi.com/kohde/1296611,02710, Espoo
23,Tornihaukantie 4,258000,105.0,https://www.etuovi.com/kohde/1296429,02620, Espoo
24,Ylistörmä 5,237000,82.0,https://www.etuovi.com/kohde/1296385,02210, Espoo
25,Sunanniitynkuja 4,299000,92.5,https://www.etuovi.com/kohde/q84877,02760, Espoo
26,Puosunrinne 3,219500,94.0,https://www.etuovi.com/kohde/20292548,02320, Espoo
27,Viherkalliontie 1,294000,102.0,https://www.etuovi.com/kohde/21025179,02710, Espoo
28,Isoistenkuja 4,335000,99.0,https://www.etuovi.com/kohde/21050427,02200, Espoo
29,Aallonhuippu 3 A 4,185000,96.5,https://www.etuovi.com/kohde/21060847,02320, Espoo
